Date,open,high,low,close,volume
6/28/2018,44.3655,44.874,44.2932,44.7029,69460940
6/29/2018,44.8933,45.1102,44.0787,44.6089,90950664
7/2/2018,44.298,45.1367,44.2016,45.1078,70699152
7/3/2018,45.2548,45.2933,44.2306,44.3221,55819224
7/5/2018,44.6451,44.9222,44.4089,44.6788,66416992
7/6/2018,44.6836,45.4099,44.6306,45.2981,69940980
7/9/2018,45.6668,45.9512,45.6186,45.9271,79026536
7/10/2018,45.9584,46.0958,45.8307,45.8717,63756596
7/11/2018,45.4259,45.7343,45.2114,45.2764,75325880
7/12/2018,45.6741,46.1271,45.6211,46.0355,72164524
7/13/2018,46.0476,46.2307,46.0042,46.1078,50079168
7/16/2018,46.1536,46.4259,45.8873,46.0066,60172440
7/17/2018,45.7271,46.238,45.5945,46.1368,62138092
7/18/2018,46.2163,46.2211,45.7705,45.8837,65573524
7/19/2018,45.7126,46.4018,45.7126,46.2404,81147008
7/20/2018,46.2163,46.3729,45.8283,46.1344,82824168
7/23/2018,45.9512,46.2597,45.6813,46.1753,63957460
7/24/2018,46.3777,46.6694,46.2814,46.5103,74791592
7/25/2018,46.5248,46.9561,46.3729,46.9489,67305932
7/26/2018,46.8983,47.2236,46.6573,46.8019,76303856
7/27/2018,46.9899,47.038,45.8114,46.0235,96095888
7/30/2018,46.2452,46.3175,45.5632,45.7656,84118140
7/31/2018,45.8596,46.303,45.6283,45.8572,157492152
8/1/2018,47.9875,48.6213,47.5489,48.5587,271742864
8/2/2018,48.337,50.2167,48.2815,49.9781,249616048
8/3/2018,49.8913,50.3034,49.5179,50.1227,133789584
8/6/2018,50.1251,50.4263,49.901,50.3829,101701548
8/7/2018,50.4432,50.4866,49.8263,49.9106,102349548
8/8/2018,49.6552,50.0793,49.2864,49.9443,90101948
8/9/2018,49.9516,50.554,49.9323,50.3371,93970504
8/10/2018,50.1466,50.5674,49.9798,50.1877,98444808
8/13/2018,50.2288,51.0153,50.2288,50.5118,103563520
8/14/2018,50.8225,50.9205,50.3643,50.7246,82992040
8/15/2018,50.5964,50.964,50.3812,50.8431,115230256
8/16/2018,51.2083,51.707,51.1406,51.588,114001468
8/17/2018,51.617,52.7076,51.5493,52.6182,141707988
8/20/2018,52.7439,53.0051,52.0208,52.1055,121150780
8/21/2018,52.4295,52.5238,51.7584,52.0039,104639020
8/22/2018,51.7766,52.3231,51.7137,52.0063,76072524
8/23/2018,51.9096,52.49,51.8975,52.1127,75532896
8/24/2018,52.3812,52.4537,52.0208,52.2748,73905424
8/27/2018,52.5142,52.8987,52.3159,52.7052,82100468
8/28/2018,52.964,53.334,52.9422,53.1309,91107064
8/29/2018,53.2397,54.0474,53.0607,53.9241,109019216
8/30/2018,53.9894,55.2009,53.7838,54.4198,195175296
8/31/2018,54.7777,55.3485,54.6544,55.0486,173360536
9/4/2018,55.2372,55.4234,54.8068,55.2251,109560528
9/5/2018,55.3775,55.5419,54.4368,54.8648,133331840
9/6/2018,54.71,54.9809,53.5178,53.9531,137159904
9/7/2018,53.6508,54.502,53.3751,53.5178,150479240
9/10/2018,53.4331,53.6508,52.3497,52.7995,158065812
9/11/2018,52.7222,54.243,52.3715,54.1345,142996196
9/12/2018,54.3981,54.4126,53.1647,53.4622,197114960
9/13/2018,54.0547,55.2227,53.8249,54.7536,166825508
9/14/2018,54.5939,54.8575,53.8133,54.132,127997156
9/17/2018,53.7233,53.9168,52.5432,52.6907,148780532
9/18/2018,52.6689,53.6508,52.5069,52.7778,126286848
9/19/2018,52.8407,53.1115,52.0668,52.8092,108495332
9/20/2018,53.2614,53.7548,52.9978,53.2107,106435176
9/21/2018,53.392,53.5323,52.548,52.6375,384986992
9/24/2018,52.4344,53.5081,52.3884,53.3944,110773432
9/25/2018,53.1429,53.8854,53.1309,53.733,98217516
9/26/2018,53.4452,54.1103,53.1454,53.305,95938824
9/27/2018,54.1272,54.7608,54.0595,54.4005,120724908
9/28/2018,54.3618,54.6157,54.1756,54.5915,91717456
10/1/2018,55.126,55.4815,54.739,54.9591,94403208
10/2/2018,54.9567,55.6217,54.8068,55.4476,99152680
10/3/2018,55.6338,56.4609,55.5685,56.1223,114619196
10/4/2018,55.8104,56.19,54.8309,55.1357,128168000
10/5/2018,55.1284,55.2372,53.3437,54.2409,134321852
10/8/2018,53.7379,54.3642,53.2518,54.1151,118655692
10/9/2018,54.0837,54.9615,53.7466,54.8648,107564116
10/10/2018,54.5238,54.739,52.2482,52.3231,167962216
10/11/2018,51.8782,53.0825,51.3461,51.8612,212497568
10/12/2018,53.305,53.8999,52.4392,53.7137,161351404
10/15/2018,53.4839,53.646,52.5432,52.565,123164028
10/16/2018,52.9446,53.9265,52.4205,53.7233,116735852
10/17/2018,53.7596,53.8418,53.0438,53.4912,91541588
10/18/2018,52.6859,53.1405,51.5106,52.2409,130325260
10/19/2018,52.7342,53.5081,52.5819,53.0365,132314904
10/22/2018,53.1526,54.016,52.9471,53.3606,115168328
10/23/2018,52.195,53.9894,51.9217,53.8636,155071384
10/24/2018,53.8322,54.2264,51.883,52.016,163700652
10/25/2018,52.6496,53.5371,52.4174,53.155,119423072
10/26/2018,52.2119,53.2493,51.4308,52.3086,189033500
10/29/2018,53.0075,53.1284,49.8395,51.3268,183742080
10/30/2018,51.0632,52.0378,50.6085,51.5831,146639960
10/31/2018,52.4489,53.3122,52.386,52.9277,153435732
11/1/2018,52.9737,53.7741,52.432,53.7403,233292720
11/2/2018,50.6762,51.6678,49.6799,50.1756,365314616
11/5/2018,49.4066,49.4284,47.9242,48.7512,264654676
11/6/2018,48.831,49.5082,48.7754,49.2784,127531524
11/7/2018,49.8105,50.7996,49.3655,50.773,133697736
11/8/2018,50.958,50.992,50.1742,50.5964,101450544
11/9/2018,49.883,49.9946,49.0821,49.6209,137463000
11/12/2018,48.2934,48.4997,47.029,47.1213,204542072
11/13/2018,46.5048,47.8517,46.4612,46.6505,187531744
11/14/2018,47.0557,47.1965,45.1216,45.3327,243203828
11/15/2018,45.7186,46.5874,45.357,46.4515,185915204
11/16/2018,46.2306,47.3153,45.9782,46.9659,147713012
11/19/2018,46.1093,46.2792,44.8934,45.1046,167683488
11/20/2018,43.2869,44.0392,42.5928,42.9496,271300988
11/21/2018,43.6169,43.748,42.8452,42.901,124496840
11/23/2018,42.4545,42.8561,41.7653,41.8114,94495888
11/26/2018,42.2846,42.4569,41.3188,42.3768,179994080
11/27/2018,41.6221,42.4133,41.4692,42.2846,165549508
11/28/2018,42.8889,43.9955,42.4521,43.9106,184250156
11/29/2018,44.328,44.362,43.1243,43.5733,167079968
11/30/2018,43.7528,43.7626,42.9617,43.3379,158126196
12/3/2018,44.7648,44.8813,43.9761,44.8522,163192008
12/4/2018,43.913,44.2625,42.7773,42.8792,165377128
12/6/2018,41.6828,42.4157,41.3576,42.4011,172393640
12/7/2018,42.1026,42.3453,40.8431,40.8892,169126524
12/10/2018,40.0423,41.2775,39.637,41.1586,248103976
12/11/2018,41.6585,41.6901,40.5276,40.9232,189126660
12/12/2018,41.3527,41.7216,41.0178,41.0373,142510696
12/13/2018,41.3746,41.8794,41.1465,41.4862,127591308
12/14/2018,41.013,41.0324,40.1102,40.1588,162814840
12/17/2018,40.1515,40.8552,39.4914,39.785,177151688
12/18/2018,40.1345,40.6562,39.8942,40.3019,135366072
12/19/2018,40.2849,40.6368,38.608,39.0448,196189188
12/20/2018,38.9259,39.3409,37.6883,38.0596,259091840
12/21/2018,38.0668,38.3823,36.3123,36.5792,382977536
12/24/2018,35.9531,36.7782,35.5745,35.6328,148676928
12/26/2018,35.9895,38.1566,35.6061,38.1421,234330176
12/27/2018,37.8193,38.045,36.419,37.8945,212468260
12/28/2018,38.2222,38.4697,37.5063,37.914,169165696
12/31/2018,38.4721,38.6735,37.9746,38.2804,140013864
1/2/2019,37.5888,38.5498,37.4286,38.3241,148158948
1/3/2019,34.9411,35.3634,34.4606,34.5067,365248780
1/4/2019,35.0746,36.0501,34.8974,35.9798,234428280
1/7/2019,36.0866,36.1181,35.4071,35.8997,219111056
1/8/2019,36.2953,36.8437,36.0429,36.5841,164101256
1/9/2019,36.7151,37.5014,36.3123,37.2053,180396324
1/10/2019,37.0088,37.3655,36.6108,37.3242,143122680
1/11/2019,37.101,37.3,36.7685,36.9578,108092964
1/14/2019,36.6083,36.7103,36.2128,36.4021,129756744
1/15/2019,36.4676,37.2247,36.4142,37.1471,114841296
1/16/2019,37.1495,37.829,37.1301,37.6009,122278824
1/17/2019,37.4213,38.261,37.1932,37.8242,119284640
1/18/2019,38.2222,38.3144,37.8534,38.0571,135004092
1/22/2019,37.9576,38.0353,37.0379,37.2029,121575880
1/23/2019,37.4092,37.6494,36.8146,37.3534,92522280
1/24/2019,37.3995,37.4893,36.8243,37.0573,101766196
1/25/2019,37.7319,38.375,37.4504,38.2853,134191572
1/28/2019,37.8072,37.9382,37.2903,37.9309,104768232
1/29/2019,37.9188,38.375,37.3995,37.5378,166348956
1/30/2019,39.6176,40.3213,38.8847,40.1029,244439120
1/31/2019,40.3116,41.013,39.9355,40.3917,162958596
2/1/2019,40.5179,41.0081,40.268,40.4111,130672552
2/4/2019,40.6271,41.6573,40.5956,41.559,125982328
2/5/2019,41.9497,42.4885,41.826,42.2701,144406512
2/6/2019,42.3841,42.6074,41.9481,42.2846,112958364
2/7/2019,41.8381,42.2118,41.3382,41.4838,126966760
2/8/2019,41.1862,41.5933,41.0473,41.5323,95279864
2/11/2019,41.6883,41.7273,41.2496,41.2935,83973700
2/12/2019,41.4568,41.6761,41.3593,41.6493,89134092
2/13/2019,41.7712,42.0368,41.4129,41.4763,89960932
2/14/2019,41.3617,41.7398,41.2813,41.6274,87342988
2/15/2019,41.737,41.8467,41.3715,41.5348,98507256
2/19/2019,41.3617,41.7834,41.3081,41.6591,75891304
